,file,frame,model,TP,FN,FP,precision,recall,average_precision
61,BT0403_229.tif,7,3_frame,73,8,55,0.5703125,0.9012345679012346,0.5367647058823529
62,BT0403_229.tif,8,3_frame,62,19,39,0.6138613861386139,0.7654320987654321,0.5166666666666667
63,BT0403_229.tif,9,3_frame,68,11,38,0.6415094339622641,0.8607594936708861,0.5811965811965812
64,BT0403_229.tif,10,3_frame,67,9,51,0.5677966101694916,0.881578947368421,0.5275590551181102
65,BT0407_110.tif,0,3_frame,22,3,48,0.3142857142857143,0.88,0.3013698630136986
66,BT0407_110.tif,1,3_frame,10,18,43,0.18867924528301888,0.35714285714285715,0.14084507042253522
67,BT0407_110.tif,2,3_frame,28,8,20,0.5833333333333334,0.7777777777777778,0.5
68,BT0407_110.tif,3,3_frame,32,5,23,0.5818181818181818,0.8648648648648649,0.5333333333333333
69,BT0407_110.tif,4,3_frame,39,2,23,0.6290322580645161,0.9512195121951219,0.609375
70,BT353_001.tif,0,3_frame,103,1,34,0.7518248175182481,0.9903846153846154,0.7463768115942029
71,BT353_001.tif,1,3_frame,97,5,24,0.8016528925619835,0.9509803921568627,0.7698412698412699
72,BT353_001.tif,2,3_frame,93,5,28,0.768595041322314,0.9489795918367347,0.7380952380952381
73,BT353_001.tif,3,3_frame,80,3,32,0.7142857142857143,0.963855421686747,0.6956521739130435
74,BT353_001.tif,4,3_frame,67,5,19,0.7790697674418605,0.9305555555555556,0.7362637362637363
75,BT353_001.tif,5,3_frame,57,3,22,0.7215189873417721,0.95,0.6951219512195121
76,BT353_001.tif,6,3_frame,79,-2,13,0.8586956521739131,1.025974025974026,0.8777777777777778
77,BT353_001.tif,7,3_frame,80,-6,7,0.9195402298850575,1.0810810810810811,0.9876543209876543
78,BT353_001.tif,8,3_frame,74,-5,5,0.9367088607594937,1.0724637681159421,1.0
79,BT353_001.tif,9,3_frame,75,-2,6,0.9259259259259259,1.0273972602739727,0.9493670886075949
80,BT0398_210.tif,0,3_frame,149,14,29,0.8370786516853933,0.9141104294478528,0.7760416666666666
81,BT0398_210.tif,1,3_frame,158,8,26,0.8586956521739131,0.9518072289156626,0.8229166666666666
82,BT0398_210.tif,2,3_frame,157,6,21,0.8820224719101124,0.9631901840490797,0.8532608695652174
83,BT0398_210.tif,3,3_frame,161,7,22,0.8797814207650273,0.9583333333333334,0.8473684210526315
84,BT0398_210.tif,4,3_frame,156,9,23,0.8715083798882681,0.9454545454545454,0.8297872340425532
85,BT0398_210.tif,5,3_frame,149,18,29,0.8370786516853933,0.8922155688622755,0.7602040816326531
86,BT0398_210.tif,6,3_frame,148,7,29,0.8361581920903954,0.9548387096774194,0.8043478260869565
87,BT0398_210.tif,7,3_frame,143,8,48,0.7486910994764397,0.9470198675496688,0.7185929648241206
88,BT0398_210.tif,8,3_frame,138,10,38,0.7840909090909091,0.9324324324324325,0.7419354838709677
89,BT0398_210.tif,9,3_frame,139,6,29,0.8273809523809523,0.9586206896551724,0.7988505747126436
90,BT0398_210.tif,10,3_frame,129,8,36,0.7818181818181819,0.9416058394160584,0.7456647398843931
91,BT402_169.tif,0,3_frame,308,25,-12,1.0405405405405406,0.924924924924925,0.9595015576323987
92,BT402_169.tif,1,3_frame,323,18,2,0.9938461538461538,0.9472140762463344,0.9416909620991254
93,BT402_169.tif,2,3_frame,320,7,15,0.9552238805970149,0.9785932721712538,0.935672514619883
94,BT403_002.tif,0,3_frame,99,7,15,0.868421052631579,0.9339622641509434,0.8181818181818182
95,BT403_002.tif,1,3_frame,106,4,12,0.8983050847457628,0.9636363636363636,0.8688524590163934
96,BT403_002.tif,2,3_frame,97,6,20,0.8290598290598291,0.941747572815534,0.7886178861788617
97,BT403_002.tif,3,3_frame,102,11,29,0.7786259541984732,0.9026548672566371,0.7183098591549296
98,BT403_002.tif,4,3_frame,83,16,11,0.8829787234042553,0.8383838383838383,0.7545454545454545
99,BT403_002.tif,5,3_frame,91,12,27,0.7711864406779662,0.883495145631068,0.7
100,BT403_002.tif,6,3_frame,80,15,31,0.7207207207207207,0.8421052631578947,0.6349206349206349
101,BT403_002.tif,7,3_frame,80,20,47,0.6299212598425197,0.8,0.54421768707483
102,BT403_002.tif,8,3_frame,48,11,23,0.676056338028169,0.8135593220338984,0.5853658536585366
103,BT403_002.tif,9,3_frame,85,8,23,0.7870370370370371,0.9139784946236559,0.7327586206896551
104,BT403_002.tif,10,3_frame,87,8,48,0.6444444444444445,0.9157894736842105,0.6083916083916084
105,BT404_199.tif,0,3_frame,150,6,51,0.746268656716418,0.9615384615384616,0.7246376811594203
106,BT404_199.tif,1,3_frame,143,12,43,0.7688172043010753,0.9225806451612903,0.7222222222222222
107,BT404_199.tif,2,3_frame,138,17,45,0.7540983606557377,0.8903225806451613,0.69
108,BT0403_229.tif,0,empty,67,14,12,0.8481012658227848,0.8271604938271605,0.7204301075268817
109,BT0403_229.tif,1,empty,63,13,43,0.5943396226415094,0.8289473684210527,0.5294117647058824
110,BT0403_229.tif,2,empty,67,10,51,0.5677966101694916,0.8701298701298701,0.5234375
111,BT0403_229.tif,3,empty,70,8,50,0.5833333333333334,0.8974358974358975,0.546875
112,BT0403_229.tif,4,empty,70,12,38,0.6481481481481481,0.8536585365853658,0.5833333333333334
113,BT0403_229.tif,5,empty,70,12,42,0.625,0.8536585365853658,0.5645161290322581
114,BT0403_229.tif,6,empty,71,13,44,0.6173913043478261,0.8452380952380952,0.5546875
115,BT0403_229.tif,7,empty,73,8,45,0.6186440677966102,0.9012345679012346,0.5793650793650794
116,BT0403_229.tif,8,empty,49,32,13,0.7903225806451613,0.6049382716049383,0.5212765957446809
117,BT0403_229.tif,9,empty,55,24,33,0.625,0.6962025316455697,0.49107142857142855
118,BT0403_229.tif,10,empty,62,14,45,0.5794392523364486,0.8157894736842105,0.512396694214876
119,BT0407_110.tif,0,empty,25,0,51,0.32894736842105265,1.0,0.32894736842105265
120,BT0407_110.tif,1,empty,10,18,31,0.24390243902439024,0.35714285714285715,0.1694915254237288
121,BT0407_110.tif,2,empty,33,3,24,0.5789473684210527,0.9166666666666666,0.55
122,BT0407_110.tif,3,empty,33,4,38,0.4647887323943662,0.8918918918918919,0.44
123,BT0407_110.tif,4,empty,38,3,26,0.59375,0.926829268292683,0.5671641791044776
124,BT353_001.tif,0,empty,80,24,27,0.7476635514018691,0.7692307692307693,0.6106870229007634
125,BT353_001.tif,1,empty,88,14,21,0.8073394495412844,0.8627450980392157,0.7154471544715447
126,BT353_001.tif,2,empty,84,14,19,0.8155339805825242,0.8571428571428571,0.717948717948718
127,BT353_001.tif,3,empty,64,19,13,0.8311688311688312,0.7710843373493976,0.6666666666666666
128,BT353_001.tif,4,empty,64,8,27,0.7032967032967034,0.8888888888888888,0.6464646464646465
129,BT353_001.tif,5,empty,53,7,25,0.6794871794871795,0.8833333333333333,0.6235294117647059
130,BT353_001.tif,6,empty,72,5,11,0.8674698795180723,0.935064935064935,0.8181818181818182
131,BT353_001.tif,7,empty,62,12,11,0.8493150684931506,0.8378378378378378,0.7294117647058823
132,BT353_001.tif,8,empty,63,6,26,0.7078651685393258,0.9130434782608695,0.6631578947368421
133,BT353_001.tif,9,empty,60,13,8,0.8823529411764706,0.821917808219178,0.7407407407407407
134,BT0398_210.tif,0,empty,157,6,24,0.8674033149171271,0.9631901840490797,0.839572192513369
135,BT0398_210.tif,1,empty,150,16,9,0.9433962264150944,0.9036144578313253,0.8571428571428571
136,BT0398_210.tif,2,empty,145,18,14,0.9119496855345912,0.8895705521472392,0.8192090395480226
137,BT0398_210.tif,3,empty,156,12,5,0.968944099378882,0.9285714285714286,0.9017341040462428
138,BT0398_210.tif,4,empty,155,10,8,0.950920245398773,0.9393939393939394,0.8959537572254336
139,BT0398_210.tif,5,empty,147,20,8,0.9483870967741935,0.8802395209580839,0.84
140,BT0398_210.tif,6,empty,138,17,17,0.8903225806451613,0.8903225806451613,0.8023255813953488
141,BT0398_210.tif,7,empty,138,13,4,0.971830985915493,0.9139072847682119,0.8903225806451613
142,BT0398_210.tif,8,empty,138,10,7,0.9517241379310345,0.9324324324324325,0.8903225806451613
143,BT0398_210.tif,9,empty,133,12,14,0.9047619047619048,0.9172413793103448,0.8364779874213837
144,BT0398_210.tif,10,empty,128,9,24,0.8421052631578947,0.9343065693430657,0.7950310559006211
145,BT402_169.tif,0,empty,320,13,-3,1.0094637223974763,0.960960960960961,0.9696969696969697
146,BT402_169.tif,1,empty,338,3,-3,1.008955223880597,0.9912023460410557,1.0
147,BT402_169.tif,2,empty,317,10,5,0.984472049689441,0.9694189602446484,0.9548192771084337
148,BT403_002.tif,0,empty,92,14,1,0.989247311827957,0.8679245283018868,0.8598130841121495
149,BT403_002.tif,1,empty,101,9,3,0.9711538461538461,0.9181818181818182,0.8938053097345132
150,BT403_002.tif,2,empty,94,9,5,0.9494949494949495,0.912621359223301,0.8703703703703703
151,BT403_002.tif,3,empty,106,7,1,0.9906542056074766,0.9380530973451328,0.9298245614035088
152,BT403_002.tif,4,empty,84,15,2,0.9767441860465116,0.8484848484848485,0.8316831683168316
153,BT403_002.tif,5,empty,95,8,7,0.9313725490196079,0.9223300970873787,0.8636363636363636
154,BT403_002.tif,6,empty,89,6,4,0.956989247311828,0.9368421052631579,0.898989898989899
155,BT403_002.tif,7,empty,81,19,6,0.9310344827586207,0.81,0.7641509433962265
156,BT403_002.tif,8,empty,46,13,1,0.9787234042553191,0.7796610169491526,0.7666666666666667
157,BT403_002.tif,9,empty,85,8,0,1.0,0.9139784946236559,0.9139784946236559
158,BT403_002.tif,10,empty,84,11,25,0.7706422018348624,0.8842105263157894,0.7
159,BT404_199.tif,0,empty,154,2,31,0.8324324324324325,0.9871794871794872,0.8235294117647058
160,BT404_199.tif,1,empty,146,9,35,0.8066298342541437,0.9419354838709677,0.7684210526315789
161,BT404_199.tif,2,empty,143,12,33,0.8125,0.9225806451612903,0.7606382978723404
